location_id,location_name,latitude,longitude
8118,New Delhi,28.63576,77.22445
8153,"Urban, Chamarajanagar - KSPCB",11.55358,76.55521
8190,"Kariavattom, Thiruvananthapuram - Kerala PCB",8.5637,76.8865
8235,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633
8239,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255
8245,"Gole Bazar, Katni - MPPCB",23.50016,80.23284
8319,"Anand Vihar, Hapur - UPPCB",28.725645,77.749675
8365,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515
8472,"Bawana, Delhi - DPCC",28.7762,77.051074
8475,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485
8558,Chennai,13.08784,80.278475
8914,"SIDCO Kurichi, Coimbatore - TNPCB",10.942451,76.978996
8915,"Wazirpur, Delhi - DPCC",28.699793,77.165453
8917,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665
10484,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156
10485,"Narela, Delhi - DPCC",28.822836,77.101981
10486,"Mundka, Delhi - DPCC",28.684678,77.076574
10488,"Najafgarh, Delhi - DPCC",28.570173,76.933762
10537,"Vidayagiri, Bagalkot - KSPCB",16.172806,75.659694
10545,"Civil Lines, Ajmer - RSPCB",26.470859,74.646594
10599,"Rajbansi Nagar, Patna - BSPCB",25.599486,85.113666
10630,"Govt. High School Shikarpur, Patna - BSPCB",25.592539,85.227158
10633,"Victoria, Kolkata - WBPCB",22.5448082,88.3403691
10645,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459
10670,"Muradpur, Patna - BSPCB",25.619651,85.147382
10697,"Samanpura, Patna - BSPCB",25.596727,85.085624
10780,"Manali Village, Chennai - TNPCB",13.1662,80.2584
10823,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813
10831,"Rohini, Delhi - DPCC",28.732528,77.11992
10844,"Ghusuri, Howrah - WBPCB",22.611968,88.347422
10851,"Bidhannagar, Kolkata - WBPCB",22.58157048,88.41002457
10895,"Lumpyngngad, Shillong - Meghalaya PCB",25.5586,91.8985
10900,"Teri Gram, Gurugram - HSPCB",28.4275,77.1465
10901,"PWD Juction, Kohima - NPCB",25.6635413,94.0989878
10902,"Kalyana Nagara, Chikkamagaluru - KSPCB",13.328028,75.797056
10904,"Rabindra Sarobar, Kolkata - WBPCB",22.51106,88.35142
10907,"City Center, Gwalior - MPPCB",26.203442,78.193251
10909,"Vijay Nagar, Ramanagara - KSPCB",12.733409,77.298051
10911,"Marhatal, Jabalpur - MPPCB",23.168606,79.932247
10913,"T T Nagar, Bhopal - MPPCB",23.233584,77.400574
10914,"Sector-25, Chandigarh - CPCC",30.751462,76.762879
10915,"Polayathode, Kollam - Kerala PCB",8.8787,76.6073
10917,"Sahilara, Maihar - KJS Cements",24.2613009,80.7231783
10918,"Ballygunge, Kolkata - WBPCB",22.5367507,88.3638022
10919,"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839
10921,"NISE Gwal Pahari, Gurugram - IMD",28.422681,77.148944
11577,"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917
11578,"Royapuram, Chennai - TNPCB",13.1036,80.2909
11579,"Kodungaiyur, Chennai - TNPCB",13.1278,80.2642
11580,"Meelavittan, Thoothukudi - TNPCB",8.816428,78.099039
11582,"Stuart Hill, Madikeri - KSPCB",12.415911,75.73505
11603,"Chandni Chowk, Delhi - IITM",28.656756,77.227234
11606,"Borivali East, Mumbai - IITM",19.23241,72.86895
11607,"Lodhi Road, Delhi - IITM",28.588333,77.221667
11609,"Mhada Colony, Pune - IITM",18.57304,73.927715
11610,"Transport Nagar-Nigdi, Pune - IITM",18.664282,73.763966
11611,"Malad West, Mumbai - IITM",19.19709,72.82204
11613,"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598
